"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R6,R7";"R_0805_2012Metric";2;"R_0805_47";;;
2;"H4,H2,H3,H1";"MountingHole_3.2mm_M3";4;"MountingHole";;;
3;"C3,C4";"C_0805_2012Metric";2;"C_0805_22pf";;;
4;"C7,C1,C5,C8,C2";"C_0805_2012Metric";5;"C_0805_0.1uf";;;
5;"R10";"R_0805_2012Metric";1;"R_0805_22K";;;
6;"R3,R1,R5,R2";"R_0805_2012Metric";4;"R_0805_10K";;;
7;"R4";"R_0805_2012Metric";1;"R_0805_2.2K";;;
8;"U2(POWER)1";"TO-252-2";1;"L7805";;;
9;"LED_MATRIX1";"DIP-24_W7.62mm";1;"MAX7219";;;
10;"RTC1";"DIP-8_W7.62mm";1;"DS1307_DIP-8";;;
11;"TP8,TP4,TP9,TP6,TP2,TP10,TP7,TP1,TP3,TP5,TP11";"TestPoint_THTPad_D2.0mm_Drill1.0mm";11;"TestPoint";;;
12;"R8,R9";"R_0805_2012Metric";2;"R_0805_4.7K";;;
13;"C9";"C_0805_2012Metric";1;"C_0805_10uf";;;
14;"J2";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06";;;
15;"HOUR1,UTILITY1,RESET1,MINUTE1";"SW_SPST_Omron_B3FS-100xP";4;"Omron_B3F_SPST";;;
16;"ATMega1";"DIP-28_W7.62mm";1;"ATmega328-PU";;;
17;"J1";"PinHeader_2x03_P2.54mm_Vertical";1;"Conn_02x03_Odd_Even";;;
18;"D1";"LED_0805_2012Metric";1;"LED_0805";;;
19;"DS1";"Adafruit-1001-0-0-MFG";1;"LED_Display_1001";;;
20;"Y1";"Crystal_SMD_2Pin_3.2x1.5mm";1;"Crystal_32768Hz";;;
21;"C6";"C_0805_2012Metric";1;"C_0805_1uf";;;
22;"CRYSTAL1";"Crystal_SMD_HC49-SD";1;"Crystal_16MHz";;;
23;"J1(POWER)1";"Wurth-694106402002";1;"PJ-102AH";;;
24;"BT1";"BatteryHolder_Keystone_106_1x20mm";1;"Battery_Cell";;;
